"","player_api_id","player_name","overall_rating","gk_rating","num_of_appearances","num_of_leagues"
"5863",30986,"Johan Djourou",81,135,141,2
"5864",34261,"Johan Elmander",85,117,95,1
"5865",212520,"Johan Kappelhof",69,55,113,1
"5866",46741,"Johan Liebus",70,348,1,1
"5867",142186,"Johan Maartensson",68,124,49,1
"5868",167557,"Johan Martial",68,114,56,1
"5869",474673,"Johan Mojica",74,59,7,1
"5870",33681,"Johan Vonlanthen",78,116,15,1
"5871",129915,"Johann Berg Gudmundsson",72,113,60,1
"5872",210693,"Johann Durand",61,308,1,NA
"5873",93353,"Johann Ramare",68,130,21,1
"5874",38722,"Johann Vogel",NA,NA,1,1
"5875",37087,"Johannes Flum",75,139,86,1
"5876",237542,"Johannes Geis",79,68,89,1
"5877",40985,"Johannes van den Bergh",73,134,64,1
"5878",650847,"Joher Khadim Rassoul",65,56,1,1
"5879",278831,"John Anthony Brooks",77,44,58,1
"5880",24130,"John Arne Riise",82,163,175,1
"5881",24130,"John Arne Riise",82,163,175,2
"5882",35576,"John Baird",62,43,28,1
"5883",105680,"John Bostock",70,136,15,1
"5884",151009,"John Boye",72,134,52,1
"5885",26165,"John Carew",NA,NA,53,1
"5886",97194,"John Fleck",68,131,16,1
"5887",109653,"John Goossens",72,124,40,1
"5888",130298,"John Guidetti",74,56,52,1
"5889",130298,"John Guidetti",74,56,52,3
"5890",130298,"John Guidetti",74,56,52,2
"5891",407118,"John Herron",57,58,1,1
"5892",52054,"John Jairo Culma",73,51,25,1
"5893",288784,"John Jairo Ruiz",66,49,15,1
"5894",288784,"John Jairo Ruiz",66,49,15,2
"5895",356406,"John McGinn",65,51,51,1
"5896",30885,"John Mensah",84,124,42,1
"5897",30885,"John Mensah",84,124,42,2
"5898",24150,"John O'Shea",80,173,204,1
"5899",32345,"John Obi Mikel",83,149,152,1
"5900",72782,"John Ogu,27",65,48,11,1
"5901",37266,"John Pantsil",77,154,74,1
"5902",112585,"John Paul Kissock",63,45,1,NA
"5903",32968,"John Potter",NA,NA,114,1
"5904",34447,"John Rankin",71,152,242,1
"5905",40602,"John Ruddy",79,390,151,2
"5906",419207,"John Souttar",64,58,59,1
"5907",40133,"John Stewart",NA,NA,3,NA
"5908",263653,"John Stones",77,51,61,1
"5909",164553,"John Sullivan",57,52,1,1
"5910",23117,"John Sutton",71,118,178,1
"5911",30627,"John Terry",91,137,236,1
"5912",208676,"John Tshibumbu",67,54,10,1
"5913",25543,"John Utaka",81,121,69,1
"5914",25543,"John Utaka",81,121,69,2
"5915",142994,"John Verhoek",68,53,10,1
"5916",30839,"Johnny Heitinga",80,146,125,2
"5917",30839,"Johnny Heitinga",80,146,125,3
"5918",30839,"Johnny Heitinga",80,146,125,1
"5919",25811,"Johnny Leoni",NA,NA,95,2
"5920",78901,"Johnny Russell",73,104,63,1
"5921",355713,"Johnny Vidales",66,34,1,1
"5922",103468,"Johny Placide",75,371,50,1
"5923",360918,"Johny",76,45,107,1
"5924",33086,"Joleon Lescott",82,139,194,1
"5925",191136,"Jon Aurtenetxe",75,60,83,1
"5926",636565,"Jon Bautista",60,53,1,NA
"5927",27327,"Jon Dahl Tomasson",NA,NA,17,1
"5928",23512,"Jon Daly",NA,NA,115,1
"5929",183347,"Jon Echaide",68,117,2,1
"5930",449494,"Jon Errasti",73,57,18,1
"5931",239856,"Jon Flanagan",72,63,30,1
"5932",478390,"Jon Gaztanaga",66,56,1,1
"5933",129275,"Jon Gudni Fjoluson",64,67,1,1
"5934",142357,"Jon Robertson",58,44,8,1
"5935",36841,"Jonas De Roeck",69,143,19,1
"5936",36841,"Jonas De Roeck",69,143,19,2
"5937",95233,"Jonas Elmer",69,139,26,1
"5938",33852,"Jonas Gutierrez",79,161,109,1
"5939",33852,"Jonas Gutierrez",79,161,109,2
"5940",307210,"Jonas Hector",78,55,56,1
"5941",242260,"Jonas Heymans",65,51,16,2
"5942",242260,"Jonas Heymans",65,51,16,1
"5943",331542,"Jonas Hofmann",76,42,12,1
"5944",6800,"Jonas Ivens",68,132,90,2
"5945",6800,"Jonas Ivens",68,132,90,1
"5946",34262,"Jonas Kamper",72,125,6,1
"5947",120598,"Jonas Loessl",76,379,67,1
"5948",210142,"Jonas Martin",75,130,69,1
"5949",280896,"Jonas Mendes",59,297,1,1
"5950",26527,"Jonas Olsson",77,156,187,1
"5951",557342,"Jonas Omlin",51,259,1,1
"5952",191140,"Jonas Ramalho",69,61,5,1
"5953",186120,"Jonas Sakuwaha",61,141,1,1
"5954",39122,"Jonas",83,116,123,1
"5955",39122,"Jonas",83,116,123,2
"5956",131845,"Jonatan Johansson",73,128,3,1
"5957",710807,"Jonatan Montiel",67,47,1,1
"5958",432825,"Jonatan Straus",64,57,26,1
"5959",93361,"Jonathan Ayite",70,121,19,1
"5960",466484,"Jonathan Benteke",62,57,1,1
"5961",40686,"Jonathan Biabiany",80,125,108,1
"5962",37979,"Jonathan Blondel",73,138,37,1
"5963",18848,"Jonathan Bottinelli",73,44,3,1
"5964",26236,"Jonathan Brison",76,156,125,1
"5965",201102,"Jonathan Buatu Mananga",64,45,27,1
"5966",625167,"Jonathan Correia",62,53,1,1
"5967",113792,"Jonathan Cristaldo",74,63,12,1
"5968",317771,"Jonathan Cristian Silva",74,53,13,1
"5969",24123,"Jonathan De Guzman",78,139,124,2
"5970",24123,"Jonathan De Guzman",78,139,124,3
"5971",24123,"Jonathan De Guzman",78,139,124,4
"5972",208984,"Jonathan Delaplace",73,45,101,1
"5973",208984,"Jonathan Delaplace",73,45,101,2
"5974",189101,"Jonathan dos Santos",79,151,32,1
"5975",159856,"Jonathan Franks",63,106,8,1
"5976",469700,"Jonathan Glao Tah",76,49,22,1
"5977",24664,"Jonathan Greening",73,135,49,1
"5978",25416,"Jonathan Hayes",70,53,157,1
"5979",189074,"Jonathan Hogg",70,114,3,1
"5980",46354,"Jonathan Howson",74,141,76,1
"5981",25730,"Jonathan Jager",71,118,16,1
"5982",43096,"Jonathan Lacourt",NA,NA,8,1
"5983",38378,"Jonathan Legear",73,128,22,1
"5984",682552,"Jonathan Leko",65,46,3,1
"5985",215307,"Jonathan Ligali",73,365,13,1
"5986",101920,"Jonathan Lopez",66,312,2,1
"5987",40007,"Jonathan Martins-Pereira",NA,NA,48,1
"5988",192319,"Jonathan Mensah",67,48,35,1
"5989",158235,"Jonathan Page",64,90,3,1
"5990",25830,"Jonathan Parr",72,122,7,1
"5991",150644,"Jonathan Pereira",75,138,59,1
"5992",38216,"Jonathan Pitroipa",78,130,123,1
"5993",38216,"Jonathan Pitroipa",78,130,123,2
"5994",101588,"Jonathan Reis",75,102,41,1
