"","team_api_id","team_long_name","team_short_name","build_sum","chance_sum","defence_sum","goals"
"260",8696,"Racing Santander","SAN",NA,205,168,160
"261",8302,"Sevilla FC","SEV",NA,206,195,478
"262",9869,"Real Sporting de Gijón","SPG",NA,185,195,200
"263",8305,"Getafe CF","GET",NA,155,164,345
"264",8603,"Real Betis Balompié","BET",NA,206,165,225
"265",8479,"RC Recreativo","HUE",NA,140,151,34
"266",8558,"RCD Espanyol","ESP",NA,196,180,338
"267",10281,"Real Valladolid","VAL",NA,172,161,170
"268",8315,"Athletic Club de Bilbao","BIL",NA,184,170,415
"269",9865,"UD Almería","ALM",NA,180,193,202
"270",9906,"Atlético Madrid","AMA",NA,206,160,524
"271",9864,"Málaga CF","MAL",NA,191,164,377
"272",9868,"Xerez Club Deportivo","XER",NA,159,165,38
"273",8394,"Real Zaragoza","ZAR",NA,166,158,159
"274",9867,"CD Tenerife","TEN",NA,180,174,40
"275",10278,"Hércules Club de Fútbol","HER",NA,178,160,36
"276",8581,"Levante UD","LEV",NA,182,155,241
"277",8560,"Real Sociedad","SOC",NA,171,171,316
"278",7878,"Granada CF","GRA",NA,200,170,179
"279",8370,"Rayo Vallecano","RAY",NA,161,178,247
"280",9910,"RC Celta de Vigo","CEL",NA,179,169,184
"281",10268,"Elche CF","ELC",NA,165,158,65
"282",8372,"SD Eibar","EIB",165,179,142,83
"283",7869,"Córdoba CF","COR",NA,171,129,22
"284",8306,"UD Las Palmas","LAS",NA,187,171,45
"285",9956,"Grasshopper Club Zürich","GRA",NA,184,160,429
"286",6493,"AC Bellinzona","BEL",NA,175,150,128
"287",10192,"BSC Young Boys","YB",NA,202,170,529
"288",9931,"FC Basel","BAS",NA,186,180,619
"289",9930,"FC Aarau","AAR",NA,181,150,153
"290",10179,"FC Sion","SIO",NA,177,146,371
"291",10199,"FC Luzern","LUZ",NA,175,153,421
"292",9824,"FC Vaduz","VAD",141,137,133,100
"293",7955,"Neuchâtel Xamax","XAM",NA,190,150,171
"294",10243,"FC Zürich","ZUR",NA,165,163,468
"295",10190,"FC St. Gallen","GAL",NA,157,155,276
"296",10191,"FC Thun","THU",NA,166,145,279
"297",9777,"Servette FC","SER",NA,175,170,77
"298",7730,"FC Lausanne-Sports","LAU",NA,164,165,99
"299",7896,"Lugano","LUG",NA,NA,NA,46
