"","reg_num","subj","crse","sect","title","units","instructor","days","time","place"
"324","10438","MATH","141","F01","Intro to Probability  and Statist","1.0","Jones","M-W-F","11:00AM11:50","PHYSIC240A"
"325","10439","MATH","141","F02","Intro to Probability  and Statist","1.0","Jones","M-W-F","01:10PM02:00","PHYSIC240A"
"326","10440","MATH","141","FL1","Intro to Probability  and Statist","0.0","Jones","T","09:00AM09:50","LIB18"
"327","10441","MATH","141","FL2","Intro to Probability  and Statist","0.0","Jones","T","11:00AM11:50","LIB18"
"328","10442","MATH","141","FL3","Intro to Probability  and Statist","0.0","Jones","T","01:10PM02:00","LIB18"
"329","10443","MATH","211","F01","Introduction to Analysis I","1.0","Perkinson","M-T-W-F","09:00AM09:50","ELIOT200"
"330","10444","MATH","211","F02","Introduction to Analysis I","1.0","Wieting","M-T-W-F","11:00AM11:50","ELIOT200"
"331","10445","MATH","211","F03","Introduction to Analysis I","1.0","Bernhard","M-T-W-F","12:00PM12:50","LIB204"
"332","20451","MATH","212","S01","Introduction to Analysis II","1.0","Wieting","M-T-W-F","09:00AM09:50","ELIOT207"
"333","20452","MATH","212","S02","Introduction to Analysis II","1.0","Bernhard","M-T-W-F","12:00PM12:50","PHYSIC240A"
"334","10580","ANTH","211","F04","Introduction to Anthropology","1.0","Silverstein","T-Th","01:10PM02:30","ELIOT414"
"335","10777","ART","348","F","Art  and  Pol in Weimar Republic","1.0","van Dyke","M-W","03:10PM04:30","LIB41"
"336","20453","MATH","311","S","Complex Analysis","1.0","Perkinson","M-T-W-F","10:00AM10:50","LIB204"
"337","10446","MATH","321","F","Advanced Calculus","1.0","Shurman","M-T-W-F","10:00AM10:50","LIB204"
"338","10447","MATH","331","F01","Linear Algebra","1.0","Mayer","M-T-W-F","09:00AM09:50","ELIOT216"
"339","10448","MATH","331","F02","Linear Algebra","1.0","Potluri","M-T-W-F","11:00AM11:50","PSYCH102"
"340","20454","MATH","331","S","Linear Algebra","1.0","Jones","M-T-W-F","11:00AM11:50","ELIOT216"
"341","20455","MATH","332","S","Abstract Algebra","1.0","Bernhard","M-T-W-F","11:00AM11:50","ELIOT200"
"342","20456","MATH","341","S","Geometry","1.0","Wieting","M-W-F","02:10PM03:00","LIB204"
"343","10449","MATH","372","F","Combinatorics","1.0","Perkinson","M-W-F","01:10PM02:00","ELIOT216"
"344","20457","MATH","382","S","Data Structure  and  Algorithm","1.0","Fix","M-W-F","09:00AM09:50","PHYSIC123"
"345","20643","MATH","385","S","Computer Graphics","1.0","Fix","M-W-F","01:10PM02:00","PHYSIC123"
"346","20679","ART","349","S","New West in Amer Photography","0.5","Fillin-Yeh","F","03:10PM04:30","LIB41"
"347","10450","MATH","391","F","Probability","1.0","Wieting","M-W-F","09:00AM09:50","LIB204"
"348","20458","MATH","412","S","Topics in Advanced AnalysisII","1.0","Mayer","M-W-F","03:10PM04:00","LIB204"
"349","20459","MATH","421","S","Elemetary Number Theory","1.0","Shurman","M-W-F","12:00PM12:50","PHYSIC122"
"350","10451","MATH","431","F","Algebraic Structures","1.0","Bernhard","M-W-F","03:10PM04:00","LIB204"
