"","lon","lat","Freq"
"126","-118.3531311","33.9616801",1
"127","-118.3617443","34.0900091",1
"128","-118.3707465","34.0902192",1
"129","-118.4003563","34.0736204",1
"130","-119.0607423","35.2874451",1
"131","-119.4179324","36.778261",10
"132","-119.6981901","34.4208305",1
"133","-120.2308167","37.8388779",1
"134","-120.612393","35.0988648",1
"135","-120.7401386","47.7510741",2
"136","-120.8958242","38.8375215",1
"137","-121.082167","38.6857367",1
"138","-121.2907796","37.9577016",1
"139","-121.4943996","38.5815719",3
"140","-121.513553","38.580434",1
"141","-121.7690133","36.90447",1
"142","-121.8863286","37.3382082",4
"143","-121.8946761","36.6002378",1
"144","-121.910441","47.5381489",1
"145","-121.9157834","37.7962428",1
"146","-122.0307963","36.9741171",1
"147","-122.0863522","37.6940973",1
"148","-122.1750657","37.4200507",4
"149","-122.2011075","40.1998777",1
"150","-122.2363548","37.4852152",1
"151","-122.2566367","38.1040864",1
"152","-122.2711137","37.8043637",3
"153","-122.2864615","47.8205179",1
"154","-122.2913078","37.8271784",2
"155","-122.3127747","47.667344",1
"156","-122.3244832","37.5635465",1
"157","-122.3320708","47.6062095",10
"158","-122.3416174","47.6083737",1
"159","-122.3963987","37.7912557",1
"160","-122.4194155","37.7749295",5
"161","-122.4580356","38.291859",1
"162","-122.4786854","48.7519112",1
"163","-122.539846","47.0042643",1
"164","-122.6764816","45.5230622",2
"165","-122.7140548","38.440429",2
"166","-122.9542972","46.7162136",1
"167","-122.9888319","38.5779555",1
"168","-123.0262077","44.9901194",1
"169","-123.1207375","49.2827291",4
"170","-123.3746913","48.4470337",1
"171","-123.486364","43.487633",1
"172","-123.7643986","49.7604377",1
"173","-123.9226385","45.9931636",1
"174","-149.1127778","61.5997222",1
"175","-149.9002778","61.2180556",1
"176","-159.4754429","21.8811991",1
"177","-16.6291304","28.2915637",2
"178","-16.924671","32.660042",1
"179","-2.047327","48.454366",1
"180","-2.12882","52.586973",1
"181","-2.1374162","40.0703925",1
"182","-2.2426305","53.4807593",1
"183","-2.3221622","36.8669997",1
"184","-2.7021047","53.6823877",1
"185","-2.715974","52.056398",1
"186","-2.7854954","56.0435147",1
"187","-2.897404","53.279812",1
"188","-2.9326435","48.2020471",2
"189","-2.96083","53.4308294",1
"190","-2.9721152","51.34444",1
"191","-3.1885551","57.4897171",1
"192","-3.435973","55.378051",8
"193","-3.5231484","34.9396677",1
"194","-3.556791","51.485027",1
"195","-3.6883445","40.4530541",1
"196","-3.7037902","40.4167754",4
"197","-3.7038322","40.4167515",2
"198","-3.74922","40.463667",15
"199","-3.7837117","52.1306607",1
"200","-34.8448668","-7.1194958",1
"201","-35.200916","-5.7792569",2
"202","-35.882916","-7.219842",1
"203","-36.954107","-8.8137173",1
"204","-38.502304","-12.9730401",2
"205","-38.5266704","-3.7318616",1
"206","-39.1127352","-14.1502977",1
"207","-39.3206241","-5.4983977",1
"208","-4.015547","5.3170741",1
"209","-4.2026458","56.4906712",1
"210","-4.251806","55.864237",2
"211","-4.397714","55.796711",1
"212","-4.4213988","36.7212737",1
"213","-4.786493","37.894722",1
"214","-43.1152211","-22.8858975",1
"215","-43.1728965","-22.9068467",8
"216","-43.1819148","-22.9070828",1
"217","-43.196804","-22.9114522",1
"218","-43.3030143","-22.8184513",1
"219","-43.4607419","-22.7561319",1
"220","-43.4806912","-22.4577374",1
"221","-43.7779091","-22.8631923",1
"222","-43.7850227","-20.6639305",1
"223","-43.8947172","-19.8096435",1
"224","-43.9344931","-19.9166813",2
"225","-44.0808763","-19.9161508",1
"226","-46.3288865","-23.9678823",1
"227","-46.6333094","-23.5505199",13
"228","-47.8821658","-15.7942287",1
"229","-48.4901968","-1.4557794",1
"230","-48.6356285","-26.9930938",1
"231","-49.0586951","-22.314459",1
"232","-49.1331046","-5.3811326",1
"233","-49.1743626","-26.7376205",1
"234","-49.2647943","-16.6868912",1
"235","-49.267137","-25.4289541",1
"236","-5.0527125","50.2660471",1
"237","-5.361006","36.165779",1
"238","-5.6559884","40.9704976",1
"239","-5.6635397","40.9701039",1
"240","-5.7467879","41.5034712",1
"241","-5.8593267","43.3613953",1
"242","-5.8719234","37.5486335",1
"243","-5.9844589","37.3890924",6
"244","-50.0803953","-20.4056611",1
"245","-50.5181108","-29.8272335",1
"246","-51.2176986","-30.0346316",2
"247","-51.3930254","-22.121114",1
"248","-51.92528","-14.235004",24
"249","-52.0215415","-25.2520888",1
"250","-52.2104006","-3.1986664",1
"251","-52.4160039","-28.2587812",1
"252","-52.893221","-30.0336816",1
"253","-54.0728404","-1.9981616",1
"254","-54.578599","-25.5971635",1
"255","-55.491477","-8.783195",1
"256","-55.765835","-32.522779",1
"257","-56.6903929","-36.5440512",1
"258","-56.7295415","-2.6377821",1
"259","-57.575926","-25.2637399",1
"260","-58.1755669","-26.1857768",1
"261","-58.276012","-34.7965806",1
"262","-58.3812772","-34.8854021",1
"263","-58.3815591","-34.6036844",8
"264","-58.408183","-34.637053",1
"265","-58.4302476","-34.7611823",1
"266","-58.443832","-23.442503",1
"267","-58.467831","-34.600823",1
"268","-58.5286102","-34.470829",1
"269","-58.5671668","-34.5012257",1
"270","-58.791382","-34.6340099",1
"271","-58.9855547","-27.4518622",1
"272","-59.0243784","-27.4257175",1
"273","-59.5988089","13.1132219",1
"274","-59.8540382","-36.7749672",1
"275","-59.933333","-29.233333",1
"276","-6.106338","53.203327",1
"277","-6.1260744","36.6850064",1
"278","-6.2588369","36.6393281",1
"279","-6.2603097","53.3498053",3
"280","-6.3722951","39.4752671",1
"281","-6.4058423","38.6914575",1
"282","-60.2110494","-33.3334669",1
"283","-60.6981989","11.2317706",1
"284","-60.912713","14.704716",1
"285","-61.4916422","-31.2525979",1
"286","-63.588653","-16.290154",2
"287","-63.616672","-38.416097",10
"288","-63.9113296","10.9970723",1
"289","-64.1887761","-31.4200833",5
"290","-64.264167","-27.7833574",1
"291","-64.896335","18.335765",1
"292","-65.0317175","-42.7694476",1
"293","-65.1654205","-26.8341103",1
"294","-66.3119138","18.2165154",1
"295","-66.38767","18.4443908",1
"296","-66.58973","6.42375",2
"297","-66.590149","18.220833",1
"298","-66.8376912","-29.4155192",1
"299","-66.9036063","10.4805937",3
"300","-66.9213628","10.587508",1
"301","-66.9511459","10.5004352",1
"302","-67.9954929","-38.938771",1
"303","-68.0591888","-38.9516784",1
"304","-68.8458386","-32.8894587",1
"305","-69.0647838","44.2097928",1
"306","-69.2168291","-51.6230485",1
"307","-69.2996732","18.4720698",1
"308","-69.3354","-15.9254",1
"309","-69.3473509","10.0677719",1
"310","-69.3583389","10.0928301",1
"311","-69.4454689","45.253783",2
"312","-7.6920536","53.1423672",2
"313","-70.0364404","12.5170398",1
"314","-70.1356692","-20.2307033",1
"315","-70.162651","18.735693",1
"316","-70.250557","43.656721",1
"317","-70.2962408","41.6687897",1
"318","-70.5361637","-33.4411781",1
"319","-70.6504492","-33.4378305",1
"320","-70.6692655","-33.4488897",3
"321","-70.7625532","43.0717552",1
"322","-70.8119953","-9.0237964",1
"323","-70.8226541","43.9653889",1
"324","-70.9915997","42.4136428",3
"325","-71","25",1
"326","-71.0022705","42.2528772",1
"327","-71.042551","42.1619739",1
"328","-71.0510248","42.3584131",1
"329","-71.0536625","42.40843",1
"330","-71.0550616","42.3635628",1
"331","-71.0588801","42.3600825",23
"332","-71.0602131","42.3782065",1
"333","-71.0723391","42.5039395",1
"334","-71.0971345","42.3466029",1
"335","-71.0994888","42.3627257",1
"336","-71.1522765","42.4792618",1
"337","-71.1550451","41.7014912",1
"338","-71.1564729","42.4153925",1
"339","-71.1631137","42.7070354",1
"340","-71.1969882","-30.604304",1
"341","-71.2079809","46.8138783",2
"342","-71.2478251","42.0653812",3
"343","-71.2519374","-29.9026691",2
"344","-71.2676089","42.092689",1
"345","-71.3700545","41.8137116",1
"346","-71.3739272","42.8651298",1
"347","-71.3824374","42.4072107",13
